Id	PaperId
D00001	2783844319
D00002	2950617145
D00003	2950628458
D00004	2888821590
D00005	2604900081
D00006	2770232904
D00007	2765991965
D00008	2083922781
D00009	2596282715
D00010	2151314635
D00011	2538795372
D00012	2891939579
D00013	2950190134
D00014	2741751098
D00015	2024933578
D00016	2804309392
D00017	2951280678
D00019	2535813094
D00021	2604496867
D00022	2952654937
D00023	2804650765
D00025	2949294428
D00026	2949991226
D00027	2132557711
D00028	1559801948
D00030	2949485510
D00032	2760540676
D00033	2950242417
D00034	2952781046
D00035	2902385229
D00036	1520268336
D00037	2888260573
D00038	1529332222
D00039	2951281798
D00040	2899128505
D00041	1896826352
D00042	2751510361
D00043	2730246242
D00044	2111427756
D00045	136938060
D00046	2016923840
D00047	2949965401
D00048	2554120691
D00049	1511645403
D00050	1541622115
D00051	2898380095
D00052	2890456778
D00053	2796185074
D00055	2185975820
D00056	2604593109
D00057	2788837839
D00058	2751143192
D00059	2768284428
D00060	2895753464
D00061	2793644834
D00062	2951712190
D00063	2792383885
D00064	2587312385
D00065	2774851204
D00066	2903657564
D00068	2950280467
D00069	2770396815
D00071	2785119290
D00072	2954185183
D00073	2164893434
D00074	2641059007
D00075	2290854557
D00076	2764216487
D00077	2901377414
D00079	2203779221
D00080	2770405618
D00081	2801164979
D00082	2808747747
D00083	2811472820
D00084	2883591223
D00085	2335846190
D00086	2887437386
D00087	2949879714
D00088	2230114577
D00090	2884263944
D00094	2949320040
D00095	2801319254
D00096	2777064080
D00097	2222194709
D00098	2606717720
D00099	2883840150
D00100	2951943974
D00101	2901100112
D00102	2739976839
D00103	2162138988
D00104	2765579719
D00105	2798951992
D00106	151674937
D00107	2536457637
D00109	2885942871
D00110	2583541808
D00111	2338754520
D00112	2951217235
D00115	1809320442
D00117	2145379273
D00118	2808534260
D00119	2768636722
D00120	2951647142
D00121	2906559748
D00123	2730839057
D00124	2888399488
D00125	2952121383
D00126	2766913883
D00127	2949912854
D00128	2886851716
D00129	2949518761
D00130	2949701846
D00131	2950948663
D00132	2900564264
D00133	2810754397
D00134	2585696635
D00135	2798611956
D00136	2822734516
D00138	2761608668
D00139	2885208219
D00140	2951603816
D00142	2951165659
D00143	2606176153
D00144	2885224146
D00145	2755570872
D00146	2804044248
D00147	2464737488
D00148	4151112
D00149	1595665965
D00152	2226797826
D00153	2950965163
D00154	2042019612
D00155	2012132593
D00156	2952212409
D00157	2594507400
D00158	2951312680
D00160	2586135505
D00161	2903043356
D00162	2593550342
D00163	2786616426
D00164	2952294648
D00165	2950816041
D00166	2786013445
D00168	2783716071
D00169	2582794520
D00170	2900778888
D00172	2884470780
D00173	2611549294
D00174	2799146239
D00175	2105609044
D00176	2949863953
D00179	1880987886
D00180	2899268504
D00181	2132276029
D00182	2612379911
D00184	2788751659
D00185	2954107944
D00186	2116903819
D00187	2791134662
D00188	1968034072
D00189	2954636434
D00190	2952517237
D00191	2751208088
D00192	2736956076
D00193	2795586939
D00194	2781309524
D00195	2951489539
D00196	2787490376
D00197	2796314760
D00198	2347034461
D00199	2950484055
D00200	1605531072
D00201	2784831738
D00202	2616923412
D00203	2900115478
D00204	2105152349
D00205	2892455765
D00206	2607207459
D00207	1650906235
D00208	2595783037
D00209	2565998323
D00211	2949945161
D00212	1531395946
D00213	2795023867
D00214	2785917027
D00215	2884654623
D00216	2593306526
D00218	2786811008
D00219	1955449185
D00220	2951214689
D00221	2003866634
D00222	2950246712
D00223	2779884399
D00225	2952059491
D00226	2165162604
D00227	2516278206
D00228	2584657131
D00229	2950025090
D00230	2883182249
D00231	2126612664
D00232	2952140134
D00233	2579275111
D00234	2738537448
D00235	2949585835
D00236	2529760013
D00237	2738644130
D00238	1616709690
D00239	2115323662
D00240	2604429163
D00241	2727753969
D00242	2809202635
D00243	2790346050
D00244	2791683151
D00245	2619570616
D00246	2799031464
D00247	2951629378
D00248	2950775849
D00250	2248907686
D00252	2811240125
D00253	2949854317
D00254	2793741436
D00255	2950272301
D00256	2890595559
D00257	2952732184
D00258	2951286568
D00259	2021490548
D00262	2793183138
D00263	2756433771
D00264	2952327574
D00265	1800581585
D00266	2161953836
D00267	2893645564
D00268	2949642290
D00269	2811208018
D00270	2341850272
D00271	1963651336
D00272	1585729493
D00273	2950778010
D00274	2756310214
D00275	2791210297
D00276	2784698670
D00278	2346855618
D00279	2605580176
D00280	2771302359
D00281	2788674649
D00282	2402877665
D00283	1836026262
D00284	2803686446
D00285	2799256272
D00286	2207192811
D00287	2116958202
D00288	2795662350
D00289	2953908388
D00290	2949301769
D00291	2739981449
D00293	2771958058
D00294	2108322002
D00295	2017275029
D00297	2883270203
D00298	2950704581
D00299	2950511652
D00301	2604296437
D00302	2906007967
D00303	2886322387
D00305	1691595524
D00306	2584642016
D00308	2902837366
D00310	2953257016
D00311	2793702469
D00312	2738473286
D00313	2139838337
D00314	2779419474
D00315	1697976105
D00316	2772086699
D00317	2219253687
D00318	2524621674
D00319	2409452000
D00320	2788214434
D00321	2280252023
D00322	1523877629
D00323	1630898172
D00324	2950042994
D00325	2614057480
D00326	2782250885
D00327	2609911740
D00328	2797824575
D00329	2901185677
D00330	2808162831
D00331	2949107315
D00332	2258333130
D00334	2519349389
D00335	1644311900
D00336	1993378086
D00337	2950840144
D00338	2791866649
D00339	2953130809
D00341	2605441943
D00342	1555173865
D00343	2807888536
D00345	2886226084
D00346	2607394097
D00347	2593163520
D00348	2806051338
D00349	2810688793
D00350	2952533036
D00351	2141354966
D00352	2898163371
D00353	2952199120
D00356	2745461761
D00357	2591745886
D00358	2314207753
D00359	2247513039
D00360	2789440170
D00361	2594648402
D00362	2396548769
D00363	2807161818
D00365	2027953636
D00366	1998604544
D00367	2486714657
D00368	2752773286
D00369	2793276877
D00370	2952323770
D00371	2796042875
D00372	2412206118
D00374	2341502303
D00375	2951745098
D00376	2951246285
D00377	2953256492
D00378	2899700230
D00379	2555349759
